,0
0,8
1,1
2,1
3,6
4,13
5,8
6,14
7,1
8,8
9,1
10,1
11,14
12,8
13,1
14,14
15,1
16,1
17,1
18,1
19,1
20,14
21,3
22,8
23,2
24,8
25,10
26,8
27,8
28,14
29,8
30,14
31,14
32,3
33,2
34,1
35,8
36,8
37,5
38,6
39,13
40,8
41,1
42,8
43,1
44,8
45,8
46,8
47,8
48,14
49,1
50,1
51,14
52,8
53,1
54,14
55,8
56,1
57,10
58,5
59,8
60,14
61,1
62,1
63,7
64,3
65,3
66,1
67,14
68,8
69,3
70,2
71,7
72,8
73,6
74,0
75,14
76,1
77,14
78,8
79,8
80,1
81,6
82,14
83,1
84,14
85,14
86,1
87,12
88,8
89,1
90,1
91,2
92,1
93,7
94,8
95,6
96,1
97,14
98,14
99,14
100,8
101,1
102,14
103,1
104,1
105,8
106,1
107,2
108,10
109,8
110,1
111,8
112,8
113,9
114,7
115,1
116,1
117,6
118,1
119,14
120,8
121,8
122,14
123,1
124,1
125,1
126,6
127,10
128,3
129,8
130,1
131,14
132,14
133,6
134,10
135,1
136,6
137,14
138,1
139,7
140,8
141,3
142,8
143,8
144,8
145,1
146,6
147,8
148,3
149,14
150,8
151,6
152,1
153,1
154,6
155,10
156,2
157,1
158,14
159,1
160,8
161,1
162,8
163,1
164,4
165,1
166,1
167,8
168,8
169,14
170,8
171,14
172,8
173,8
174,8
175,1
176,1
177,8
178,14
179,3
180,1
181,8
182,14
183,8
184,14
185,1
186,8
187,10
188,9
189,1
190,6
191,1
192,1
193,8
194,9
195,1
196,6
197,1
198,13
199,1
200,0
201,8
202,6
203,1
204,1
205,1
206,1
207,1
208,8
209,8
210,2
211,1
212,14
213,3
214,1
215,14
216,1
217,4
218,3
219,8
220,3
221,9
222,9
223,1
224,10
225,8
226,14
227,14
228,1
229,5
230,1
231,1
232,1
233,1
234,9
235,1
236,6
237,1
238,10
239,6
240,13
241,14
242,3
243,1
244,8
245,8
246,8
247,6
248,14
249,8
250,8
251,1
252,1
253,8
254,1
255,2
256,13
257,6
258,2
259,8
260,8
261,2
262,14
263,3
264,8
265,8
266,8
267,1
268,1
269,1
270,8
271,1
272,9
273,3
274,6
275,1
276,8
277,14
278,8
279,14
280,8
281,14
282,7
283,8
284,1
285,2
286,8
287,1
288,8
289,1
290,8
291,9
292,1
293,1
294,4
295,1
296,1
297,10
298,1
299,8
300,1
301,1
302,1
303,8
304,13
305,8
306,8
307,8
308,1
309,8
310,1
311,6
312,2
313,1
314,10
315,1
316,2
317,14
318,1
319,1
320,10
321,1
322,1
323,1
324,2
325,1
326,8
327,14
328,14
329,10
330,2
331,1
332,3
333,6
334,3
335,10
336,1
337,8
338,14
339,8
340,2
341,1
342,8
343,1
344,12
345,8
346,2
347,1
348,1
349,6
350,9
351,1
352,0
353,7
354,0
355,8
356,1
357,1
358,1
359,1
360,2
361,14
362,2
363,1
364,1
365,1
366,1
367,1
368,1
369,1
370,8
371,4
372,8
373,14
374,1
375,3
376,2
377,8
378,2
379,1
380,1
381,8
382,6
383,10
384,10
385,1
386,8
387,7
388,8
389,9
390,8
391,1
392,1
393,8
394,1
395,1
396,1
397,8
398,2
399,1
400,1
401,8
402,8
403,8
404,1
405,2
406,1
407,1
408,1
409,7
410,1
411,6
412,1
413,8
414,8
415,8
416,14
417,1
418,3
419,1
420,1
421,8
422,1
423,12
424,14
425,4
426,1
427,6
428,4
429,3
430,7
431,13
432,1
433,1
434,9
435,13
436,1
437,6
438,14
439,8
440,1
441,8
442,1
443,1
444,8
445,1
446,1
447,1
448,13
449,2
450,1
451,1
452,8
453,8
454,1
455,8
456,8
457,14
458,1
459,1
460,6
461,1
462,9
463,8
464,7
465,10
466,9
467,14
468,7
469,1
470,1
471,14
472,9
473,8
474,10
475,14
476,8
477,1
478,9
479,8
480,8
481,8
482,7
483,6
484,8
485,8
486,4
487,8
488,1
489,3
490,1
491,8
492,1
493,8
494,1
495,6
496,1
497,8
498,1
499,8
500,1
501,2
502,1
503,1
504,1
505,8
506,14
507,12
508,2
509,8
510,8
511,10
512,1
513,10
514,10
515,8
516,1
517,7
518,13
519,1
520,7
521,8
522,14
523,1
524,1
525,14
526,6
527,8
528,7
529,2
530,1
531,14
532,0
533,8
534,9
535,6
536,8
537,8
538,6
539,1
540,1
541,1
542,14
543,12
544,8
545,6
546,10
547,1
548,1
549,8
550,8
551,1
552,1
553,1
554,8
555,10
556,8
557,10
558,8
559,1
560,1
561,8
562,1
563,8
564,1
565,1
566,3
567,1
568,1
569,6
570,8
571,8
572,7
573,1
574,3
575,7
576,1
577,6
578,1
579,7
580,1
581,1
582,3
583,14
584,1
585,12
586,8
587,4
588,1
589,1
590,1
591,14
592,6
593,7
594,10
595,14
596,1
597,1
598,4
599,8
600,1
601,12
602,14
603,12
604,3
605,1
606,1
607,8
608,2
609,4
610,8
611,1
612,1
613,2
614,11
615,1
616,1
617,1
618,1
619,8
620,1
621,1
622,8
623,8
624,10
625,8
626,14
627,14
628,1
629,10
630,9
631,1
632,8
