,type,language,rating,Drama,Comedy,Action,Documentary,Crime,Animation,Adventure,Romance,Thriller,Mystery,Horror,Family,Fantasy,Biography,History,Sci-Fi,Reality-TV,Music,Short,Sport,War,Musical,Talk-Show,Game-Show,Unknown,Western,News,Film-Noir,total_rt,period
0,1,15,1.163026100369618,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.6862047143362331,2
1,0,15,-0.7604734989506574,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.10147999995542512,3
2,1,15,1.2466565177313689,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.005836278308898724,2
3,1,15,1.8320694392636276,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.9511417763012825,0
4,1,46,0.6612435961991117,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.019315974409302175,3
5,1,15,1.0793956830078673,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.14417366825900368,2
6,1,15,0.6612435961991117,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.141693385950596,1
7,1,15,1.2466565177313689,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.057120994699872286,3
8,1,15,1.0793956830078673,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.4447547358959751,2
9,1,15,0.07583067466685374,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.03859936815992287,3
10,1,15,0.4103523441138585,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.015058770972239054,2
11,1,15,1.2466565177313689,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.4998800897700322,2
12,1,33,1.7484390219018768,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.32023943728641,2
